,Locality,Locality Latitude,Locality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
62,Prenzlauer Berg,52.5398466,13.4285652,partyservice otte,52.545467376708984,13.434061050415039,Food Truck
63,Prenzlauer Berg,52.5398466,13.4285652,Wiener Schnitzel-Truck,52.538707,13.413476,Food Truck
64,Französisch Buchholz,52.6105131,13.4281104,Imbisswagen,52.610523501712905,13.418550503019052,Food Truck
65,Charlottenburg,52.515747,13.3096834,Let the games begin,52.511451721191406,13.31204891204834,Casino
66,Wilmersdorf,52.4871152,13.3203298,Curry One,52.48246522052323,13.328166577714455,Food Truck
67,Schmargendorf,52.4789022,13.2929962,Harry’s Gemüse,52.477216,13.291363,Food Truck
68,Schmargendorf,52.4789022,13.2929962,Rosmarin Grill,52.47695742885244,13.29065857474023,Food Truck
69,Westend,52.5133992,13.2558416,Markt Preussenallee,52.5128867599156,13.259233342406189,Food Truck
70,Westend,52.5133992,13.2558416,Berlin Burrito Company,52.5158636002576,13.24097979800836,Food Truck
71,Halensee,52.4972262,13.2929986,El Presidente Ya Viene,52.502534,13.307995,Food Truck
72,Schöneberg,52.482157,13.3551901,Old Papa,52.487416,13.354693,Food Truck
73,Schöneberg,52.482157,13.3551901,turken market,52.4755931394794,13.344763559720421,Food Truck
74,Friedenau,52.472075,13.3296424,turken market,52.4755931394794,13.344763559720421,Food Truck
75,Tempelhof,52.4632921,13.3864477,Det Fischbrötchen,52.45510062422478,13.385199308395386,Fish & Chips Shop
76,Neukölln,52.4811497,13.4353501,El Mexicano Tacos,52.486813,13.424527,Taco Place
77,Neukölln,52.4811497,13.4353501,Hektikfood,52.489565458918804,13.428332989312308,Food Truck
78,Neukölln,52.4811497,13.4353501,Piano bär,52.490537,13.432022,Food Truck
79,Neukölln,52.4811497,13.4353501,Lange's Imbiss,52.486575,13.424095,Food Truck
80,Neukölln,52.4811497,13.4353501,Pankowalski,52.487187,13.425244,Food Truck
